NODE_PROB: 0.02	EDGE_DENSITY: 0.4	GRAPH SIZE: 400
STEP 0		42,8	44,2	41,4	44,8	43		6,16	196,28	1653,02	1258,32		0.3979699248120301	7	8	400
STEP 1		43,2	43,6	40,6	42,8	43		4,95	195,1	1406,06	1261,2		0.3982821375045654	8	7	399
STEP 2		42,4	44	40,6	42,6	43,2		5,33	196,43	1198,31	1217,77		0.3980952380952381	8	10	400
STEP 3		42	43,8	40,4	43	43		4,66	187,09	1443,51	1180,44		0.3984279078009696	8	7	398
STEP 4		42,4	43,8	41	42,4	43		5,04	187,31	1417,64	1201,16		0.3988866638959207	8	6	399
STEP 5		42,8	43,6	41,2	42,6	43,2		4,92	191,86	1377,47	1223,66		0.39840399002493765	7	8	401
STEP 6		43	44	41	42,6	43,2		4,94	180,82	1338,27	1140,45		0.39827067669172933	8	6	400
STEP 7		42,8	44	41,2	43,2	43,2		4,89	196,43	1321,06	1158,63		0.3987543578863786	7	7	402
STEP 8		42,8	44	41	42,8	43,8		4,53	182,06	1276,72	1107,76		0.39835734047964666	7	5	402
STEP 9		43,2	44,2	41,2	43	43,6		4,59	190,34	1369,21	1153,68		0.3987175392477213	7	5	404
STEP 10		43,2	44,6	41,6	43,2	44		4,84	201,31	1340,89	1131,06		0.3990634312473393	7	5	406
STEP 11		42,6	44,8	41,6	43,6	44		4,17	168,19	1262,09	1021,68		0.39876908994556054	7	5	408
STEP 12		43,4	45	41,8	43,8	44		4,25	171,77	1254,5	979,14		0.39889081042399666	7	8	410
STEP 13		44	45,2	42	43,8	44		3,64	156,96	1159,83	949		0.3991921952154945	7	10	409
STEP 14		43,8	44,4	41,8	43,6	44		3,73	155,35	1194,29	926,23		0.3990269415556772	7	6	406
STEP 15		43	44,2	41,4	43,6	43,8		3,87	157,18	1127,21	872,25		0.39878481257791604	7	12	407
STEP 16		43,4	43,8	41,2	43	43,6		3,33	139,65	1023,58	823,21		0.3996104266696443	7	9	402
STEP 17		42,8	44	41	42,8	43,2		3,39	142,13	969,95	806,73		0.40028822055137847	7	11	400
STEP 18		42,4	43,6	40,8	42,8	43		3,3	137,52	952,73	747,35		0.40035801048459274	8	5	396
