EDGE_PROB: 0.1	EDGE_DENSITY: 0.9	GRAPH SIZE: 400
STEP 0		135,8	132,8	135	136
STEP 1		194,8	192,4	192	197
STEP 2		201,2	205	200	203
STEP 3		202,8	208,6	201	204
STEP 4		205,8	209,8	205	206
STEP 5		204,2	209,6	203	206
STEP 6		203,8	209,4	203	206
STEP 7		203	209,2	202	204
STEP 8		202,6	209,2	200	205
STEP 9		207,6	209,2	206	209
STEP 10		204,2	207,4	202	206
STEP 11		204,2	207,8	203	206
STEP 12		205,8	210,8	204	208
STEP 13		204	206,6	203	205
STEP 14		208,4	214,8	207	211
STEP 15		205	209,6	204	207
STEP 16		201,8	210,4	201	203
STEP 17		205,6	210,2	204	206
STEP 18		206,6	209,2	206	207
STEP 19		204,8	209,8	203	206
