EDGE_PROB: 0.04	EDGE_DENSITY: 0.9	GRAPH SIZE: 400
STEP 0		135	132,4	134	136
STEP 1		141,6	141	137	145
STEP 2		147	145,6	145	148
STEP 3		147,6	146,2	146	150
STEP 4		151	146,2	148	153
STEP 5		151,8	148,2	151	153
STEP 6		153,4	149,8	151	156
STEP 7		154	149	152	156
STEP 8		153,8	152,2	152	155
STEP 9		156,8	153,2	153	160
STEP 10		155	153,6	154	157
STEP 11		153,2	150,2	149	156
STEP 12		153,6	151,6	151	157
STEP 13		152,4	149,6	150	154
STEP 14		153	150,4	151	154
STEP 15		152,2	148,6	148	154
STEP 16		157,8	151,6	157	158
STEP 17		154,4	152,2	152	158
STEP 18		152,8	150	150	155
STEP 19		155,8	152	154	158
