NODE_PROB: 0.01	EDGE_DENSITY: 0.7	GRAPH SIZE: 300
STEP 0		65	64,6	60,4	65	63,2		5,51	238,83	1457,97	1125,62		0.6969453734671126	3	1	300
STEP 1		65,2	64,2	60,4	62,4	63		5,28	247,76	1296,58	1170,42		0.6967943499592968	3	2	302
STEP 2		65	64,4	59,2	62,8	63,6		5,48	256,15	1110,68	1196,44		0.6965882018665442	2	1	303
STEP 3		65,6	64,6	59,8	62,6	63,8		4,97	266,4	1127,75	1160,16		0.6965433385443808	3	3	304
STEP 4		65,4	64,8	60,2	62,4	64		5,63	247,31	1117,95	1136,23		0.6962176480805975	2	3	304
STEP 5		65,6	65,2	59,6	62,2	63,8		4,84	237,58	1043,71	1079,55		0.6959543636482853	2	3	303
STEP 6		64,8	65,4	59,2	62,6	64		4,71	236,54	965,64	973,6		0.6967063430947614	2	1	302
STEP 7		65,8	64,6	59,4	61,8	63,8		4,69	221,64	904,21	949,4		0.6966100583568291	3	5	303
STEP 8		65	64,4	59,2	62	63,2		4,1	196,37	734,59	818,45		0.695016611295681	2	1	301
STEP 9		65	64,4	59,8	62	63,4		3,61	174,22	680,65	753,36		0.6945721766297771	3	1	302
STEP 10		64,6	64,6	60	62,6	63,8		3,66	170,1	733,48	763,94		0.695088587806149	2	3	304
STEP 11		65,2	65,4	59,8	62,2	63,8		3,51	171,74	729,29	743,75		0.6955828033134439	2	2	303
STEP 12		64,4	65	59,6	62,2	63,4		2,89	155,72	625,49	637,09		0.6955390903328743	3	3	303
STEP 13		66,2	64,8	60,2	62,4	63,8		2,76	138,04	591,5	599,77		0.6958013682162918	3	4	303
STEP 14		64,2	64,8	60	62,4	63,4		2,76	137,38	619,97	590,23		0.6959582847462102	3	3	302
STEP 15		64,8	64,6	59,6	62,6	63,8		2,89	136,64	557,19	496,17		0.6959582847462102	3	4	302
STEP 16		65,8	64,6	59,4	62,2	63,6		2,12	104,64	427,67	399,32		0.6963233665559247	2	1	301
STEP 17		65,4	64,6	59,2	62,2	63,8		1,78	84,34	329,67	346,13		0.695826274449407	2	4	302
STEP 18		65,4	65,2	59,4	62,2	63,4		1,54	80,48	579,72	638,88		0.6964548494983278	3	5	300
