EDGE_PROB: 0.08	EDGE_DENSITY: 0.4	GRAPH SIZE: 500
STEP 0		51,2	53,4	50	53		4,07	142,65	1604,29		0.4004889779559118	4243	4018
STEP 1		51,4	53,8	50,6	53		4,26	142,83	1655,98		0.40229258517034067	4185	4043
STEP 2		52,2	54,2	51	53		4,11	143,96	1681,52		0.4034308617234469	4282	4020
STEP 3		52	53,6	50,6	53,4		4,64	151,05	1674,56		0.4055310621242485	4261	4043
STEP 4		52,6	53,6	51,4	53,4		4,55	160,58	1718,13		0.40727855711422845	4176	4132
STEP 5		52,8	54	50,8	53,4		4,23	155,32	1704,06		0.4076312625250501	4156	4039
STEP 6		52,2	54,2	51,6	53,8		5,77	169,91	1720,51		0.4085691382765531	4175	4056
STEP 7		52,4	54,2	52	53,8		4,15	156,45	1756,15		0.4095230460921844	4063	4128
STEP 8		53	54,2	51,4	53,2		4,72	170,89	1714,8		0.409002004008016	4126	3977
STEP 9		52,6	54,6	51,4	54		5,38	180,67	1735,58		0.41019639278557113	4028	4029
STEP 10		52,6	54,2	51,8	54		4,7	172,29	1761,15		0.410188376753507	4283	4075
STEP 11		54	54,4	52	54		5,07	174,9	1768,06		0.4118557114228457	4149	4034
STEP 12		53,6	55,4	52	54		4,67	177,68	1783,02		0.41277755511022046	4176	4048
STEP 13		52,8	55,2	52	54,4		5,44	184,29	1793,42		0.4138036072144289	4160	4223
STEP 14		53	55,2	52	54,2		4,84	175,01	1846,58		0.4132985971943888	4154	4153
STEP 15		52,8	55	52	54		6,09	178,41	1708,88		0.4133066132264529	4129	4244
STEP 16		52,4	54,4	52	54,2		4,64	166,6	1638,17		0.41238476953907816	4170	4098
STEP 17		53,4	54,8	52	54,2		4,39	158,26	1642,6		0.41296192384769537	4142	4131
STEP 18		53,6	55	52	54,2		4,14	160,29	1656,85		0.4130501002004008	4140	4104
