200	0,5	0,04	31,43 ( 30,65 - 32,3 ) 	31,5 ( 30,75 - 32,2 ) 	28,35 ( 27,75 - 28,85 ) 	30,85 ( 30,35 - 31,35 ) 	0,0	0,0	100,0	0,0	0,0	100,0	3,08	3,15	0,0	0,42	32,94	72,18	0,51	414,25	408,35	200,0	
200	0,5	0,07	31,98 ( 31,0 - 33,1 ) 	32,24 ( 31,5 - 33,0 ) 	28,9 ( 28,35 - 29,4 ) 	31,8 ( 31,2 - 32,1 ) 	0,0	0,0	100,0	0,0	0,0	100,0	3,08	3,34	0,0	0,43	34,79	80,95	0,52	723,8	714,85	200,0	
200	0,5	0,1	32,54 ( 31,45 - 33,45 ) 	32,41 ( 31,7 - 33,15 ) 	29,19 ( 28,65 - 29,7 ) 	32,36 ( 31,9 - 32,8 ) 	0,0	2,0	98,0	0,0	0,0	100,0	3,35	3,22	0,0	0,46	35,14	87,42	0,52	1053,35	1030,15	200,0	
200	0,9	0,01	77,0 ( 75,1 - 78,85 ) 	72,41 ( 71,1 - 73,9 ) 	64,51 ( 64,1 - 64,95 ) 	71,02 ( 70,45 - 71,65 ) 	0,0	0,0	100,0	0,0	0,0	100,0	12,49	7,9	0,0	1,13	89,32	39,54	0,9	188,65	182,35	200,0	
200	0,9	0,04	84,25 ( 82,35 - 86,2 ) 	79,35 ( 77,8 - 80,85 ) 	71,05 ( 70,65 - 71,55 ) 	79,77 ( 78,8 - 80,4 ) 	0,0	0,0	100,0	0,0	0,0	100,0	13,2	8,3	0,0	1,19	102,22	43,49	0,93	777,05	747,0	200,0	
200	0,9	0,07	93,58 ( 92,0 - 95,05 ) 	90,61 ( 88,9 - 92,5 ) 	83,81 ( 83,65 - 83,9 ) 	93,13 ( 92,1 - 94,1 ) 	0,0	0,0	100,0	0,0	0,0	100,0	9,77	6,8	0,0	1,25	109,12	63,09	0,96	1394,0	1333,05	200,0	
200	0,9	0,1	115,39 ( 114,9 - 115,8 ) 	115,93 ( 115,1 - 116,8 ) 	114,51 ( 114,4 - 114,6 ) 	118,63 ( 117,85 - 119,35 ) 	4,0	58,0	38,0	0,0	29,0	71,0	0,88	1,42	0,0	1,11	104,3	107,37	0,98	2039,5	1948,4	200,0	
300	0,1	0,01	11,1 ( 11,0 - 11,45 ) 	11,86 ( 11,4 - 12,05 ) 	11,18 ( 10,95 - 11,55 ) 	12,01 ( 11,75 - 12,15 ) 	15,0	78,0	7,0	2,0	28,0	70,0	-0,08	0,68	0,0	0,29	17,69	185,51	0,1	45,15	44,95	300,0	
300	0,1	0,04	11,11 ( 10,85 - 11,6 ) 	11,93 ( 11,65 - 12,05 ) 	11,39 ( 11,05 - 11,85 ) 	12,09 ( 12,0 - 12,3 ) 	37,0	53,0	10,0	2,0	43,0	55,0	-0,28	0,54	0,0	0,26	17,52	213,52	0,1	187,9	183,2	300,0	
300	0,1	0,07	11,17 ( 10,95 - 11,65 ) 	11,91 ( 11,55 - 12,05 ) 	11,79 ( 11,3 - 12,0 ) 	12,26 ( 12,0 - 12,85 ) 	64,0	33,0	3,0	6,0	76,0	18,0	-0,62	0,12	0,0	0,26	17,13	222,83	0,1	318,4	318,35	300,0	
