NODE SIZE: 100
100.0	94.45	87.32	93.27	
100.0	94.68	87.49	94.51	
100.0	95.51	87.91	95.88	
100.0	95.71	88.02	96.55	
100.0	95.98	88.3	97.31	
100.0	96.45	88.76	97.8	
100.0	96.83	89.17	98.58	
100.0	96.81	89.72	98.61	
100.0	96.98	90.06	98.89	
100.0	96.82	90.52	98.23	


NODE SIZE: 200
100.0	97.65	87.17	94.7	
100.0	97.71	87.2	95.66	
100.0	97.92	87.6	96.56	
100.0	97.57	87.41	97.01	
100.0	97.96	87.62	97.46	
100.0	98.37	88.16	98.27	
100.0	98.59	88.68	98.9	
100.0	99.16	89.81	99.91	
100.0	99.71	90.77	100.64	
100.0	99.67	91.65	100.47	


NODE SIZE: 300
100.0	99.97	89.75	96.44	
100.0	100.0	90.09	97.42	
100.0	99.73	89.63	97.59	
100.0	99.79	89.92	97.89	
100.0	99.46	89.68	98.14	
100.0	99.58	89.93	98.52	
100.0	99.59	90.07	98.96	
100.0	99.93	90.99	99.76	
100.0	100.53	92.1	100.69	
100.0	101.52	93.57	101.93	


NODE SIZE: 400
100.0	101.02	91.88	97.92	
100.0	101.2	91.86	98.59	
100.0	101.04	91.66	98.77	
100.0	100.85	91.52	98.79	
100.0	100.75	91.41	98.89	
100.0	100.46	91.13	98.77	
100.0	100.41	91.08	99.08	
100.0	100.48	91.41	99.57	
100.0	100.77	92.76	100.62	
100.0	101.91	94.47	101.97	


NODE SIZE: 500
100.0	102.24	93.02	98.77	
100.0	102.16	92.96	99.33	
100.0	101.79	92.75	99.44	
100.0	101.89	92.6	99.4	
100.0	101.45	92.43	99.12	
100.0	101.14	92.06	98.8	
100.0	100.88	91.75	98.81	
100.0	100.77	91.86	99.13	
100.0	101.18	93.25	100.27	
100.0	101.88	95.27	101.64	


