EDGE_PROB: 0.01	EDGE_DENSITY: 0.05	GRAPH SIZE: 200
STEP 0		5,8	6	6	6,2		0,02	1,98	23,93		0.049648241206030154	996	0
STEP 1		8,4	9	8,2	9		0,03	3,19	29		0.09969849246231156	996	0
STEP 2		11,2	11,2	10,8	12		0,05	4,51	23,63		0.14974874371859295	996	0
STEP 3		13,8	14	12,8	14,4		0,06	5,9	17,25		0.19979899497487438	996	0
STEP 4		16,4	17,2	15	17		0,08	7,43	19,37		0.24984924623115579	996	0
STEP 5		18,8	19,6	17,2	19,4		0,11	8,85	15,51		0.29989949748743716	996	0
STEP 6		22,2	22,2	19,6	22		0,13	10,28	16,43		0.3499497487437186	996	0
STEP 7		24,8	24,8	22,4	25		0,14	11,83	18,79		0.4	996	0
STEP 8		27,6	28,4	25,4	27,8		0,17	13,36	22,55		0.4500502512562814	996	0
STEP 9		31,4	31,2	27,4	30,4		0,18	14,83	23,81		0.5001005025125628	996	0
STEP 10		34,2	34,6	31,4	33,8		0,21	16,52	30,09		0.5501507537688443	996	0
STEP 11		38	38,6	34,6	37		0,23	18,02	40,39		0.6002010050251256	996	0
STEP 12		41,6	41,8	37,4	40,8		0,26	19,65	32,8		0.650251256281407	996	0
STEP 13		46,8	45,6	42,4	46		0,28	21,51	42		0.7003015075376885	996	0
STEP 14		51,4	50,8	45,4	50		0,3	23,28	33,16		0.7503517587939699	996	0
STEP 15		58,8	56,8	49,8	55,4		0,33	25,08	24,62		0.8004020100502512	996	0
STEP 16		67	63,8	55,4	63,2		0,36	26,98	18,44		0.8504522613065326	996	0
STEP 17		75,4	72,2	64,2	71,8		0,38	29,03	17,53		0.9005025125628141	996	0
STEP 18		90,4	88,4	80,4	88		0,39	31,64	20,48		0.9505527638190955	984	0
STEP 19		200	200	200	200		0,37	37,2	117,22		1.0	0	995
STEP 20		92,6	88,2	79,2	98		0,38	29,81	14,23		0.95	0	995
STEP 21		74	72,8	64,8	72,6		0,36	28,24	12,05		0.9	0	995
STEP 22		64,8	63,4	54,8	62,4		0,35	26,53	11,86		0.85	0	995
STEP 23		60	56,8	49,6	54,8		0,32	24,73	19,65		0.8	0	995
STEP 24		52,4	51,8	46	50		0,3	22,92	35,37		0.75	0	995
STEP 25		46,4	46	41	44,8		0,28	21,1	32,96		0.7	0	995
STEP 26		42	42,4	37,4	40,6		0,25	19,59	24,73		0.65	0	995
STEP 27		38,6	38,2	34,6	37		0,24	17,98	28,74		0.6	0	995
STEP 28		34,6	34,6	31,2	33,6		0,21	16,39	23,34		0.55	0	995
STEP 29		30,8	31,6	27,6	30,6		0,19	14,88	19,82		0.5	0	995
STEP 30		27,8	27,6	25,2	27,6		0,18	13,42	16,53		0.45	0	995
STEP 31		24,6	25	22	24,8		0,15	11,89	10,48		0.4	0	995
STEP 32		21,6	22,4	19,8	22		0,13	10,53	11,8		0.35	0	995
STEP 33		19	19,6	17,4	19,8		0,12	9,29	11,83		0.3	0	995
STEP 34		16	17	15,6	17		0,1	8	12,32		0.25	0	995
STEP 35		14,2	14,4	13	14,6		0,08	6,65	9,33		0.2	0	995
STEP 36		11,2	11,8	10,4	11,8		0,06	5,45	13,64		0.15	0	995
STEP 37		8,2	9	8,2	9,4		0,05	4,28	17,3		0.1	0	995
STEP 38		5,4	6	5,4	7,2		0,04	3,1	15,03		0.05	0	995
