EDGE_PROB: 0.04	EDGE_DENSITY: 0.9	GRAPH SIZE: 200
STEP 0		73,6	71,8	72	76
STEP 1		77,6	73	76	80
STEP 2		82	76,4	80	84
STEP 3		84,8	78	82	87
STEP 4		87	81,4	85	89
STEP 5		84,4	81,4	83	86
STEP 6		85	79,8	84	86
STEP 7		87,2	81,2	86	89
STEP 8		85,2	79,4	82	88
STEP 9		85	80,2	82	89
STEP 10		85,6	80,6	82	87
STEP 11		88,2	79,2	87	90
STEP 12		87,4	81,4	85	90
STEP 13		87,2	81,2	85	89
STEP 14		86,2	80,4	86	87
STEP 15		87,4	79,6	85	89
STEP 16		87,2	80,8	86	90
STEP 17		86,4	81	85	88
STEP 18		86,4	80,8	84	90
STEP 19		85,2	81,2	84	86
