EDGE_PROB: 0.1	EDGE_DENSITY: 0.9	GRAPH SIZE: 200
STEP 0		78,2	72,2	75	80
STEP 1		102,6	103,6	101	104
STEP 2		118,6	118,8	118	119
STEP 3		117,2	117,8	117	118
STEP 4		119,4	119,8	119	120
STEP 5		119	120	119	119
STEP 6		125	125,8	125	125
STEP 7		118	120	118	118
STEP 8		121,4	121,4	121	122
STEP 9		113	114	113	113
STEP 10		118,8	119,4	118	120
STEP 11		117	118,4	117	117
STEP 12		117,2	118,4	117	118
STEP 13		119,2	120	119	120
STEP 14		120	120,4	120	120
STEP 15		118,6	118,8	118	119
STEP 16		114,8	115,2	114	115
STEP 17		114,4	115,8	114	115
STEP 18		116,8	116,8	116	117
STEP 19		116,8	118	116	118
