EDGE_PROB: 0.01	EDGE_DENSITY: 0.5	GRAPH SIZE: 200
STEP 0		31,4	31,2	31	32
STEP 1		31	31,8	30	32
STEP 2		31,6	31	31	33
STEP 3		30,8	30,6	30	32
STEP 4		31,4	31,4	31	32
STEP 5		31	31	31	31
STEP 6		31	31	30	33
STEP 7		31,2	31	30	32
STEP 8		31	31	30	32
STEP 9		31	31,4	31	31
STEP 10		32	31,4	31	34
STEP 11		31	31,2	30	33
STEP 12		31,6	30,8	31	33
STEP 13		31,8	31,4	31	33
STEP 14		31,8	31,2	31	33
STEP 15		32	31	32	32
STEP 16		31,6	31,4	31	32
STEP 17		31,4	31,2	31	32
STEP 18		31,6	30,8	31	32
STEP 19		31,6	31,8	30	32
