NODE_PROB: 0.1	EDGE_DENSITY: 0.1	GRAPH SIZE: 300
STEP 0			12,4	11	11	11	11	193,03	182,53	170,21		11	11	11	11	0	5	0		0	5	0		0.09917502787068004	31	30	300
STEP 1			12,2	11	11,6	11	11,4	115,7	163,71	148,56		11	12	11	11	2	7	1		3	7	0		0.09964562569213732	33	31	301
STEP 2			12,4	11,2	11,6	11	11,2	117,77	157,75	154,96		11	12	11	11	5	8	2		6	9	0		0.10032129040718642	27	27	303
STEP 3			12	11,4	11,4	11	11,2	115,56	159,5	155,23		11	12	11	11	7	10	3		8	12	0		0.09914103993180776	29	29	303
STEP 4			12,4	11,2	11	11	11,2	127,29	168,17	153,17		11	11	11	11	7	14	4		8	17	0		0.09870391012611195	27	19	303
STEP 5			12,8	11,2	11,6	11,4	11,4	178,51	188,69	174,95		11	12	11	12	9	16	5		10	19	1		0.09947100923140753	28	36	311
STEP 6			12,8	11	11,6	11	11	156,38	171,39	151,06		11	12	11	11	12	18	5		13	21	1		0.09962188271807314	29	26	303
STEP 7			12,8	11	11,8	11	11,2	157,81	179,71	157,35		11	12	11	11	15	20	5		17	22	1		0.09861780777884925	30	30	306
STEP 8			12,6	11	11,4	11	11	148,91	152,67	124,62		11	12	11	11	17	23	5		19	25	1		0.09926068788171007	31	35	306
STEP 9			12	11	11	11	11	120,17	104,11	110,96		11	11	11	11	17	28	5		19	30	1		0.09891971573782755	33	30	302
STEP 10			12,6	11	11,4	10,8	11,2	131,05	107,15	122,37		11	12	10	11	19	30	6		22	32	1		0.10012942191544436	32	30	305
STEP 11			12,6	11	11,6	10,8	11,4	135,65	102,77	121,52		11	12	10	11	21	32	7		25	34	1		0.09955078665559601	30	30	307
STEP 12			12,8	11	11,8	11	11,2	121,95	108,41	108,37		11	12	10	12	25	32	8		29	34	2		0.10014689915053969	29	29	307
STEP 13			13	10,8	11,8	11	11,2	116,4	102,73	94,96		11	12	10	12	28	34	8		32	36	2		0.10035979647016244	27	29	307
STEP 14			12,6	11	11,6	11,2	11	111,77	89,64	94,43		11	12	10	12	31	36	8		34	38	3		0.10094909404659189	31	26	305
STEP 15			12,8	11	12	11	11,4	115,29	92,29	103,88		12	12	10	12	34	38	8		38	39	3		0.10097087378640776	28	25	310
STEP 16			13	11,4	12	11,4	11,8	117,73	92,67	109,39		12	12	10	12	35	42	8		40	42	3		0.10002457606291472	32	33	313
STEP 17			12,8	11,2	12	11,4	12	115,43	115,21	119,32		12	12	11	12	35	47	8		43	44	3		0.10009069173056312	33	39	312
STEP 18			12,6	11,2	11,8	11,4	11,4	109,72	109,73	117,62		11	12	11	12	37	50	8		45	47	3		0.10009643201542913	27	35	306
STEP 19			12,4	11,2	11,8	11	11,2	98,78	101,39	105		11	12	11	11	40	52	8		49	48	3		0.10200438388357852	31	35	298
