NODE_PROB: 0.07	EDGE_DENSITY: 0.5	GRAPH SIZE: 100
STEP 0		16	16	8,1	6,73		16	16	16	16		0	5	0		0.5107070707070707	6	7	100
STEP 1		16	15,8	5,77	4,31		16	16	15	16		1	9	0		0.5120593692022264	7	9	99
STEP 2		15,6	15,6	6,38	4,17		15	16	15	16		3	10	2		0.5057989690721649	7	7	97
STEP 3		15,8	15,4	6,59	4,03		15	16	15	16		5	13	2		0.5004295532646048	6	5	97
STEP 4		16	15,2	6,61	4,45		16	16	15	16		9	14	2		0.501577950767936	7	7	98
STEP 5		15,6	15,2	5,42	3,86		15	16	15	16		11	17	2		0.5078897538396802	6	8	98
STEP 6		15,8	15,8	6,3	4,53		15	16	15	16		12	20	3		0.5133771929824561	6	7	96
STEP 7		16	16,2	6,39	4,62		16	16	16	17		12	24	4		0.5142217245240761	6	3	95
STEP 8		15,8	16	5,79	4,42		15	16	16	16		12	28	5		0.5110456553755522	7	4	98
STEP 9		16,4	16	13,78	8,94		16	17	16	16		14	31	5		0.5083168316831683	6	7	101
STEP 10		16	16	9,26	7,69		16	16	16	16		14	36	5		0.5107070707070707	7	5	100
STEP 11		16,4	16	9,11	8,13		16	17	16	16		16	39	5		0.5101921956901573	7	9	102
STEP 12		16	16	13,61	8,89		16	16	16	16		16	44	5		0.5040404040404041	7	7	100
STEP 13		15,8	16	12,41	8,95		15	16	16	16		16	48	6		0.5036363636363637	6	1	100
STEP 14		16,4	16,4	13,1	7,88		16	17	16	17		17	51	7		0.5034798534798535	7	3	105
STEP 15		16,8	16,8	10,76	8,26		16	17	16	17		18	54	8		0.5027183146449201	6	4	109
STEP 16		17	17	11,31	8,43		17	17	17	17		18	59	8		0.5027027027027027	7	9	111
STEP 17		17	16,6	12,1	9,11		17	17	16	17		20	62	8		0.5018688413183826	6	9	109
STEP 18		16,6	16,2	10,82	8,13		16	17	16	17		23	63	9		0.49757412398921835	6	10	106
STEP 19		16,4	16	9,04	6,49		16	17	16	16		25	66	9		0.5000970685303825	6	2	102
