NODE_PROB: 0.07	EDGE_DENSITY: 0.1	GRAPH SIZE: 200
STEP 0			9,2	8	8	7,8	8	126,22	103,08	116,19		8	8	7	8	0	5	0		1	4	0		0.09763819095477387	13	13	200
STEP 1			9,2	8	8	7,4	8	69,34	32,01	54,69		8	8	7	8	0	10	0		4	6	0		0.09899497487437187	13	17	200
STEP 2			9	8,2	8	7,6	8	58,29	31,44	38,61		8	8	7	8	0	15	0		6	9	0		0.09706959706959707	14	14	196
STEP 3			9	8	8	7,4	7,8	60,14	44,08	32,71		8	8	7	8	1	19	0		9	11	0		0.0966509680795395	14	16	196
STEP 4			9	8	8	7,2	7,4	71,51	55,33	32,69		8	8	7	8	4	21	0		13	12	0		0.094920143154746	13	14	194
STEP 5			9	8	8	7	7	69,56	44,62	33,68		8	8	7	7	9	21	0		18	12	0		0.09536917098445596	13	19	193
STEP 6			8,8	8	7,8	7	7,4	53,27	41,17	29,8		7	8	7	7	12	22	1		22	13	0		0.09746420562359841	14	11	187
STEP 7			9	8	7,8	7	7,2	50,21	25,25	32,52		7	8	7	7	15	24	1		26	14	0		0.098635477582846	14	14	190
STEP 8			9	8	7,8	7	7,4	45,58	31,76	29,58		7	8	7	7	18	25	2		30	15	0		0.09824561403508772	14	22	190
STEP 9			9	8	7,2	7	7	41,94	35,28	30,44		7	8	7	7	19	29	2		31	19	0		0.09774755631109222	14	11	182
STEP 10			8,8	8	7,6	7	7,2	46,12	36,43	37,72		7	8	7	7	22	30	3		34	21	0		0.09688601645123385	13	22	185
STEP 11			8,2	7,8	7	7	7	35,55	29,29	23,83		7	7	7	7	22	35	3		34	26	0		0.09740259740259741	13	17	176
