NODE_PROB: 0.07	EDGE_DENSITY: 0.9	GRAPH SIZE: 100
STEP 0			41,2	43,6	36,6	36,8	36,6	5,44	5,15	4,36		36	37	36	37	1	3	1		0	4	1		0.9026262626262627	6	9	100
STEP 1			40,2	43,4	37	37,2	37,2	4,22	4,77	4,62		37	37	37	38	1	7	2		0	8	2		0.9054982817869416	6	8	97
STEP 2			39	41,6	35,2	35	35	3,9	4,28	4,35		35	36	35	35	2	11	2		1	12	2		0.9003359462486002	7	6	95
STEP 3			40	40	37	37	36,6	4,75	5,06	5,07		37	37	37	37	4	14	2		1	17	2		0.9010964912280702	7	6	96
STEP 4			40,6	41,8	37	37,2	37	4,45	5,09	5,05		37	37	37	38	4	19	2		1	21	3		0.9018470790378007	7	8	97
STEP 5			39	40,2	36	36	36	4,27	4,48	4,34		36	36	36	36	4	24	2		1	26	3		0.9002192982456141	6	9	96
STEP 6			37,4	38,8	35	34,4	34,6	3,79	4,24	4,09		35	35	34	35	6	27	2		4	28	3		0.8987844787283777	7	4	93
STEP 7			37,2	39,4	35	35	34,6	3,52	3,9	3,66		34	36	34	36	9	28	3		5	31	4		0.8932017543859649	6	4	96
STEP 8			37,4	40,6	35	35	34,8	4,15	3,97	4,28		35	35	35	35	10	32	3		5	36	4		0.8901746265516516	7	8	98
STEP 9			38	39	35	35	35	3,97	4,14	4,42		35	35	35	35	10	37	3		5	41	4		0.8917525773195877	7	4	97
STEP 10			38	39,4	35	35	35	3,73	3,7	3,99		35	35	35	35	10	42	3		5	46	4		0.888080808080808	7	4	100
STEP 11			39,6	42,4	35,8	36	36	4,2	4,33	4,48		35	36	36	36	10	46	4		5	50	5		0.8855891871311632	7	12	103
STEP 12			39,2	40,8	35	35,2	35	3,89	4,21	4,02		35	35	35	36	10	51	4		5	54	6		0.892909741216074	7	9	98
STEP 13			38	39,8	34,6	34,2	34,2	3,62	3,89	3,74		34	35	34	35	13	52	5		8	55	7		0.8907894736842106	7	6	96
STEP 14			37,6	39,2	34	34	34	2,96	3,48	3,15		34	34	34	34	13	57	5		8	60	7		0.8919673539518901	7	9	97
STEP 15			38,4	40,2	35	35	35	3,21	3,59	3,36		35	35	35	35	13	62	5		8	65	7		0.8920492721164613	7	8	95
STEP 16			38,2	40	36	35,4	35,4	4,19	4,73	4,42		36	36	35	36	16	64	5		11	67	7		0.8936170212765957	6	8	94
STEP 17			38,6	39,2	35	35,6	35,2	3,61	3,51	3,32		35	35	35	36	16	68	6		11	69	10		0.8972766364070712	7	7	92
STEP 18			38,8	41	36	36	36	3,58	3,93	3,65		36	36	36	36	16	73	6		11	74	10		0.9001433349259437	7	3	92
STEP 19			40,4	42,6	37,2	37,8	37,4	4	4,38	3,73		37	38	37	38	17	75	8		11	76	13		0.9008771929824562	6	7	96
