NODE_PROB: 0.1	EDGE_DENSITY: 0.1	GRAPH SIZE: 100
STEP 0		5	5	6,21	6,45		5	5	5	5		0	5	0		0.09737373737373738	9	6	100
STEP 1		5	5	3,22	3,75		5	5	5	5		0	10	0		0.09632590900437846	9	7	103
STEP 2		5	5	3,41	3,08		5	5	5	5		0	15	0		0.09853479853479853	11	6	105
STEP 3		5,2	5	6,01	4,68		5	6	5	5		1	19	0		0.09591326105087573	9	22	110
STEP 4		5	5	3,51	4,36		5	5	5	5		1	24	0		0.09471649484536082	9	8	97
STEP 5		5	5	3,44	3,29		5	5	5	5		1	29	0		0.09657058699768567	9	16	98
STEP 6		5	5	3,14	3,53		5	5	5	5		1	34	0		0.09157509157509157	9	7	91
STEP 7		5	5	3,09	3,11		5	5	5	5		1	39	0		0.0895278167367929	9	6	93
STEP 8		5	5	3,61	4		5	5	5	5		1	44	0		0.08969298245614035	9	11	96
STEP 9		5	5	4,48	3,34		5	5	5	5		1	49	0		0.091283459162663	10	8	94
STEP 10		5	5	2,92	4,13		5	5	5	5		1	54	0		0.09035087719298246	11	8	96
STEP 11		5	5	2,39	3,32		5	5	5	5		1	59	0		0.09029066171923315	11	9	99
STEP 12		5	5	4,25	4		5	5	5	5		1	64	0		0.09128712871287128	9	6	101
STEP 13		5	5	7,12	7,22		5	5	5	5		1	69	0		0.09241971620612398	9	14	104
STEP 14		5	5	7,43	5,55		5	5	5	5		1	74	0		0.09317666460523603	10	10	99
STEP 15		5	5	6,38	5,77		5	5	5	5		1	79	0		0.09647495361781076	11	9	99
STEP 16		5	5	6,33	5,72		5	5	5	5		1	84	0		0.09742574257425743	10	8	101
STEP 17		5	5	6,51	5,92		5	5	5	5		1	89	0		0.09746811345897582	10	8	103
STEP 18		5,2	5	6,71	7,44		5	6	5	5		2	93	0		0.1010989010989011	10	5	105
STEP 19		5,6	5,8	6,58	6,92		5	6	5	6		3	95	2		0.1012510425354462	10	7	110
