NODE_PROB: 0.04	EDGE_DENSITY: 0.2	GRAPH SIZE: 200
STEP 0			15	14	13,4	12,8	13	141,22	112,84	118,57		13	14	12	13	2	3	0		2	3	0		0.20095477386934674	8	12	200
STEP 1			15	13,8	12,8	12	12,2	84,91	40,28	55,17		12	13	12	12	5	5	0		6	4	0		0.20172684458398743	8	10	196
STEP 2			15	13,2	12,8	12	12	72,9	24,48	26,31		12	13	12	12	9	6	0		10	5	0		0.2017520431600876	8	11	194
STEP 3			14,6	13,4	12,4	12	12	49,13	32,64	26,61		12	13	12	12	11	9	0		12	8	0		0.20115734362083218	8	8	191
STEP 4			14,8	13,2	12,2	12	12	39,11	34,1	26,97		12	13	12	12	12	13	0		13	12	0		0.2012675668228162	7	11	191
STEP 5			14,4	13	12	11,4	11,4	38,35	31,4	31,8		12	12	11	12	15	15	0		16	14	0		0.2007360128802254	7	9	187
STEP 6			14,2	13	12	11,4	11,6	32,09	26,45	29,85		12	12	11	12	17	18	0		19	16	0		0.20011750881316098	8	12	185
STEP 7			14	13	11,8	11,2	11,4	25,77	34,87	27,38		11	12	11	12	20	19	1		23	16	1		0.1998158379373849	8	7	181
STEP 8			13,8	13	12	11	11	32,83	27,09	22,77		12	12	11	11	25	19	1		28	16	1		0.1998057191427357	7	5	182
STEP 9			13,8	13	11,8	11,2	11,4	33,25	23,26	25,08		11	12	11	12	28	20	2		31	18	1		0.1994535519125683	7	4	184
STEP 10			13,8	13,4	12	11,4	11,2	39,99	27,39	22,87		12	12	11	12	32	21	2		34	20	1		0.19889598067966188	7	2	187
STEP 11			14,2	13	12	12	11,6	25,84	27,25	33,52		12	12	12	12	34	24	2		34	25	1		0.20026178010471204	7	8	192
STEP 12			14,4	13,4	12	11,8	11,6	25,37	27,83	28,89		12	12	11	12	36	27	2		35	29	1		0.19977955359603197	8	11	191
STEP 13			14	13,4	12,2	12	12	33,7	23,69	34,16		12	13	12	12	37	31	2		36	33	1		0.20167254522698827	7	3	188
