NODE_PROB: 0.05	EDGE_DENSITY: 0.5	GRAPH SIZE: 50
STEP 0		10	9,8	9	10,8	9,4		0,01	0,84	1,03	1,39		0.4775510204081633	50	50
STEP 1		17,4	17,4	15,2	17,8	9,4		0,02	3,64	3,96	45,11		0.49575757575757573	50	100
STEP 2		24,2	24,4	21,6	24,4	9,4		0,08	8,6	15,39	321,56		0.4987024608501119	50	150
STEP 3		30,2	31,2	28,2	30,4	9,4		0,2	16,13	44,37	1095,34		0.5004020100502513	50	200
STEP 4		36,8	37,4	34,4	36,4	9,4		0,41	25,74	102,36	2656,81		0.5014939759036144	50	250
STEP 5		42,2	43,2	40,4	43	9,4		0,71	37,51	219,2	5370,87		0.5036789297658862	50	300
STEP 6		49,4	49,2	46	48,4	9,4		1,17	51,7	403,15	9685,18		0.5032337290216946	50	350
STEP 7		54,6	55	51,6	53,6	9,4		1,83	70,39	677,3	14448,06		0.5015664160401002	50	400
STEP 8		59,4	60,4	57	59,2	9,4		2,71	91,5	1147,91	22440,84		0.5004305864884929	50	450
STEP 9		65,2	67	63,2	65	9,4		4,78	162,11	1888,89	32325,42		0.5009378757515031	50	500
STEP 10		70,2	72,8	68,8	70,2	9,4		5,3	145,82	2815,86	43782,62		0.5008378870673953	50	550
STEP 11		75	78,4	74,4	75,8	9,4		6,91	185,23	4200,25	61437,49		0.5006510851419032	50	600
STEP 12		80,8	85,8	79,6	80,4	9,4		9,68	250,1	6009,86	84323,13		0.5005807751570464	50	650
