NODE_PROB: 0.01	EDGE_DENSITY: 0.1	GRAPH SIZE: 50
STEP 0		4	4	4	4	4		0,01	1,45	3,4	3,4		0.0946938775510204	50	50
STEP 1		6	5,8	5	6	6		0,01	3,19	10,48	8,88		0.10222222222222223	50	100
STEP 2		7	7	7	7,4	7,8		0,07	6,91	31,72	26,85		0.0995973154362416	50	150
STEP 3		8	9	8,4	9	9		0,13	13,1	98,31	59,36		0.10110552763819096	50	200
STEP 4		10	10	10	10,8	11		0,26	20,43	223,14	114,17		0.10094779116465863	50	250
STEP 5		10,6	11,2	11	11,6	12		0,49	30,45	431,2	194,37		0.09926421404682274	50	300
STEP 6		12,4	13,2	12,8	13	13,6		0,69	47,52	747,81	315,13		0.09923864101514532	50	350
STEP 7		13,4	14,8	14	14,4	15		1,4	68,72	1208,64	483,15		0.09924812030075188	50	400
STEP 8		14,8	15,8	15	16	16		2,12	91,38	1506,34	711,17		0.09956941351150705	50	450
STEP 9		15,8	17	16,6	17	17,2		2,98	115,55	2081,49	998,46		0.09963927855711423	50	500
STEP 10		17,2	18,2	18	18,6	19		4,39	143,09	2813,6	1351,57		0.09975823811889385	50	550
STEP 11		18	19,4	19	19,6	20		5,64	165,47	3652,4	1799,31		0.09964941569282137	50	600
STEP 12		19	20,8	20	21	21		7,17	194,14	4870,62	2411,2		0.09966575797084272	50	650
STEP 13		20	22	21	22	22		9,84	230,13	6700,69	3227,58		0.09967708972000817	50	700
STEP 14		21,2	23	22,2	23	23,2		14,26	313,15	10243,46	4931,83		0.10000534045393858	50	750
STEP 15		22,4	24,2	23,8	24	24		15,94	349,15	12511,82	6215,81		0.09971214017521902	50	800
STEP 16		23,2	26,4	24,8	25	25,6		18,57	371,32	14641,79	7222,03		0.10000415713988775	50	850
STEP 17		24,4	28,4	25,8	26,6	27		20,13	392,84	16584,51	8030,88		0.10026943517488568	50	900
