NODE_PROB: 0.01	EDGE_DENSITY: 0.5	GRAPH SIZE: 50
STEP 0		11,6	10,4	10	11	10		0,04	3,8	4,02	4,27		0.5077551020408163	50	50
STEP 1		18,6	17,6	16	18,4	17,4		0,08	13,44	18,63	20,13		0.4985858585858586	50	100
STEP 2		25	24,8	22,4	24,2	24,2		0,35	35,98	69,39	71,09		0.5000447427293064	50	150
STEP 3		31,6	30,8	28,6	30,6	30,8		0,87	72,67	198,48	173,52		0.4992462311557789	50	200
STEP 4		36,6	36,6	34,2	36,2	36		1,82	118,09	442,63	372,02		0.4951967871485944	50	250
STEP 5		42,4	43	40	42	42,8		3,41	178,76	867	727,99		0.49884057971014495	50	300
STEP 6		48,4	49,4	46	47,6	48,2		6,03	258,94	1467,23	1324,95		0.4991731477691363	50	350
STEP 7		54	55	51,8	53,8	54,2		10,05	354,86	2362,06	2144,38		0.49908521303258147	50	400
STEP 8		60,2	60,8	57,2	59	60		13,98	462,8	3664,12	3346,68		0.5000049492699826	50	450
STEP 9		65	66,4	62,8	64,4	65		19,23	566,16	5635,18	5092,85		0.4995511022044088	50	500
STEP 10		70	71,4	68,6	70,4	70,4		26,4	692,71	9383,44	8703,79		0.5000364298724954	50	550
STEP 11		75	77,8	74	75,4	75,8		40,19	937,56	13932,24	12828,5		0.5009181969949916	50	600
STEP 12		80,6	84,8	79,6	81	81		46,62	990,01	17700,38	16193,52		0.500244162617044	50	650
STEP 13		86,8	91	84,6	86,2	86		48,95	984,36	19018,57	17001		0.500143061516452	50	700
STEP 14		91	97,4	89,8	91,2	91,4		49,59	919,8	15846,34	13078,74		0.5002082777036048	50	750
STEP 15		95,6	101,4	95,2	96	95,8		30,4	519,4	13375,54	11873,93		0.5001282853566958	50	800
STEP 16		100,2	108,2	99,4	101,8	101		31,86	534,69	13247,4	11726,44		0.5000124714196633	50	850
