EDGE_PROB: 0.01	EDGE_DENSITY: 0.1	GRAPH SIZE: 100
STEP 0		5,6	5,8	5	6		0,01	0,81	2,29		0.10161616161616162	496	0
STEP 1		9	8,8	8	9		0,01	1,31	1,67		0.2018181818181818	496	0
STEP 2		12	11,2	10,8	11,6		0,01	1,95	1,68		0.302020202020202	496	0
STEP 3		14,2	14,2	13	14,4		0,01	2,59	1,82		0.4022222222222222	496	0
STEP 4		18	17,8	16	17,6		0,02	3,34	3,1		0.5024242424242424	496	0
STEP 5		22	21,2	19,2	21,2		0,02	4,05	2,52		0.6026262626262626	496	0
STEP 6		27	25,4	23,2	26		0,03	4,73	2,91		0.7028282828282828	496	0
STEP 7		32,8	30,4	28,8	31,2		0,03	5,56	2,74		0.803030303030303	496	0
STEP 8		42	40,2	38	40,8		0,04	6,36	3,01		0.9032323232323233	479	0
STEP 9		100	100	100	100		0,04	7,37	19,25		1.0	0	0
STEP 10		42,8	39,8	37	45,8		0,04	6,35	2,9		0.9	0	0
STEP 11		32,2	30,2	28,2	32		0,03	5,63	2,22		0.8	0	0
STEP 12		26,6	25,4	22,6	25,6		0,03	4,89	2,22		0.7	0	0
STEP 13		21,8	21	18,6	21,2		0,02	4,13	1,96		0.6	0	0
STEP 14		18	17,4	16	17,4		0,02	3,46	2,03		0.5	0	0
STEP 15		14,6	14,4	13	15		0,02	2,85	1,66		0.4	0	0
STEP 16		12	11,2	10,6	12		0,01	2,21	1,61		0.3	0	0
STEP 17		8,8	8,6	8	9		0,01	1,63	1,62		0.2	0	0
STEP 18		5,6	5,8	5	6		0,01	1,04	1,6		0.1	0	0
