EDGE_PROB: 0.01	EDGE_DENSITY: 0.5	GRAPH SIZE: 500
STEP 0		65,2	66,6	64	66
STEP 1		65,2	67	64	66
STEP 2		64,6	66,6	64	65
STEP 3		64,6	66,8	63	66
STEP 4		64,8	67	64	66
STEP 5		65,2	67,2	65	66
STEP 6		64,4	67,6	63	66
STEP 7		65	67,2	63	67
STEP 8		64,8	67,6	63	67
STEP 9		65,4	66,4	65	66
STEP 10		65,4	66,8	64	67
STEP 11		65,6	66,8	65	67
STEP 12		64,8	67	63	66
STEP 13		64,8	66,8	64	66
STEP 14		64	67,2	63	65
STEP 15		65,6	67,4	65	66
STEP 16		64,8	66,4	64	66
STEP 17		65,2	66,6	64	67
STEP 18		65,4	67,4	64	66
STEP 19		65,2	67	64	66
