EDGE_PROB: 0.1	EDGE_DENSITY: 0.5	GRAPH SIZE: 500
STEP 0		65,2	67	64	67
STEP 1		66	67,8	63	67
STEP 2		66,8	68,8	66	68
STEP 3		66,4	68,8	65	67
STEP 4		67,4	69,4	66	69
STEP 5		67,8	70	66	69
STEP 6		68,4	70,6	67	69
STEP 7		68,4	70,6	67	69
STEP 8		68,4	70,6	66	69
STEP 9		68	70,8	66	70
STEP 10		68,6	70,8	67	70
STEP 11		69,2	70,2	68	70
STEP 12		68,8	70,2	68	69
STEP 13		68,4	70,6	68	69
STEP 14		68,2	71,2	67	70
STEP 15		69,2	70,8	68	70
STEP 16		68,4	70,4	68	69
STEP 17		69	70,2	68	70
STEP 18		68,4	71	68	69
STEP 19		68,8	70,6	67	70
