EDGE_PROB: 0.1	EDGE_DENSITY: 0.9	GRAPH SIZE: 500
STEP 0		163,6	164,4	163	164
STEP 1		241,8	239	239	245
STEP 2		253,8	257,4	252	257
STEP 3		249	253	247	251
STEP 4		249,6	254,2	248	250
STEP 5		254,4	255,8	253	257
STEP 6		252,2	256,2	251	254
STEP 7		252	257,2	251	253
STEP 8		253,8	253,8	251	255
STEP 9		252,6	255,4	251	255
STEP 10		249,6	255,6	249	251
STEP 11		252	256	250	255
STEP 12		251,4	256,8	251	252
STEP 13		253,2	254,2	251	255
STEP 14		253,6	257	253	254
STEP 15		252	257,8	250	253
STEP 16		252	258,2	250	254
STEP 17		252,4	254,2	251	255
STEP 18		251	255,2	250	252
STEP 19		251	254,8	249	253
