EDGE_PROB: 0.04	EDGE_DENSITY: 0.5	GRAPH SIZE: 500
STEP 0		65	66,8	64	66
STEP 1		65,2	67,4	64	67
STEP 2		66,6	67	66	68
STEP 3		66	67	65	68
STEP 4		65	67,8	64	66
STEP 5		65,6	67	64	67
STEP 6		65,4	68	64	66
STEP 7		65,8	67,6	65	67
STEP 8		66	67,2	65	67
STEP 9		65,2	67,6	63	66
STEP 10		66	67,8	63	67
STEP 11		66	67	65	68
STEP 12		66,8	67,4	66	69
STEP 13		66	67,4	64	67
STEP 14		66	67,6	65	67
STEP 15		65,6	67,8	65	67
STEP 16		65,2	67,6	64	66
STEP 17		65,8	67,6	65	66
STEP 18		67	67,6	66	68
STEP 19		66,2	67,6	65	68
