EDGE_PROB: 0.1	EDGE_DENSITY: 0.1	GRAPH SIZE: 300
STEP 0		11	12	11	11
STEP 1		10,6	11,4	10	11
STEP 2		11	11,6	11	11
STEP 3		11	11,6	11	11
STEP 4		10,8	11,6	10	11
STEP 5		11	11,8	11	11
STEP 6		10,8	11,4	10	11
STEP 7		11,4	11,8	11	12
STEP 8		10,8	11,6	10	11
STEP 9		11	12	11	11
STEP 10		11,2	12	11	12
STEP 11		11,2	11,8	11	12
STEP 12		11,2	12	11	12
STEP 13		11,2	12	11	12
STEP 14		11,4	12	11	12
STEP 15		11	12	11	11
STEP 16		11,2	11,6	11	12
STEP 17		11	12	11	11
STEP 18		11,2	11,8	11	12
STEP 19		11	12	11	11
