EDGE_PROB: 0.1	EDGE_DENSITY: 0.9	GRAPH SIZE: 300
STEP 0		106,2	103,8	104	107
STEP 1		151,2	151,2	150	153
STEP 2		156,2	162,6	156	157
STEP 3		160,2	164,2	159	162
STEP 4		156,8	161,8	156	158
STEP 5		160,6	166,2	159	161
STEP 6		163,4	168,6	163	164
STEP 7		157,6	162,8	157	158
STEP 8		157	161,2	157	157
STEP 9		157,8	161,6	157	159
STEP 10		162	166,4	161	163
STEP 11		159,2	164,2	159	160
STEP 12		162,6	167,6	162	163
STEP 13		157,2	161,4	157	158
STEP 14		158,2	162,4	157	159
STEP 15		157	160,8	157	157
STEP 16		156,4	162,4	155	158
STEP 17		160,2	164,8	160	161
STEP 18		163,4	166,8	163	164
STEP 19		158,8	162,4	158	159
